project,Region,country,Status(as of 2025.1Q),Extraction Type,Resource,Total_Cash_Cost,Capacity,Cost_Quartile
Yichun Greenfield,Asia,China,Speculative projects,Open pit,Pegmatite,14772.50025875837,0.0,Q3
Jianxiawo Phase 2,Asia,China,Speculative projects,Open pit,Pegmatite,14772.50025875837,0.0,Q3
Xikeng,Asia,China,Possible projects,Open pit,Pegmatite,14772.50025875837,0.0,Q3
Ogden,North America,United States,Speculative projects,Evaporation,Brine,14784.90483457572,35.0,Q3
St Austell,Europe,United Kingdom,Speculative projects,Open pit,Pegmatite,14807.8279689159,20.0,Q3
San Jose,Europe,Spain,Speculative projects,Open pit,Pegmatite,14915.870138593229,15.0,Q3
Thacker Pass,North America,United States,Committed projects,Open pit,Sedimentary,14955.577510620938,40.0,Q3
Jiezechaka Phase 3,Asia,China,Speculative projects,Direct Extraction,Brine,15100.84258783597,0.0,Q3
Haixiliang,Asia,China,Speculative projects,Direct Extraction,Brine,15100.84258783597,0.0,Q3
Dazhou,Asia,China,Speculative projects,Direct Extraction,Brine,15100.84258783597,0.0,Q3
Shuinan,Asia,China,Committed projects,Open pit,Pegmatite,15163.2,0.0,Q4 (High Cost)
Jadar ,Europe,Serbia,Probable projects,Underground,Sedimentary,15167.90906663352,20.0,Q4 (High Cost)
Salar de Uyuni II,South America,Bolivia,Speculative projects,Direct Extraction,Brine,15189.62350580537,14.0,Q4 (High Cost)
Silver Peak Phase 2,North America,United States,Possible projects,Evaporation,Brine,15209.9780391043,5.0,Q4 (High Cost)
Upper Rhine Valley,Europe,Germany,Speculative projects,Direct Extraction,Brine,15354.092510956541,35.2,Q4 (High Cost)
Grota do Cirilo,South America,Brazil,Existing operations,Open pit,Pegmatite,15382.629246038983,36.7,Q4 (High Cost)
Rhyolite Ridge,North America,United States,Probable projects,Open pit,Sedimentary,15728.07355502618,20.6,Q4 (High Cost)
Mina do Barroso,Europe,Portugal,Possible projects,Open pit,Pegmatite,15758.40389108225,0.0,Q4 (High Cost)
Avalonia,Europe,Ireland,Speculative projects,Open pit,Pegmatite,15758.40389108225,0.0,Q4 (High Cost)
Falchani,South America,Peru,Speculative projects,Open pit,Sedimentary,15830.65128830804,23.15,Q4 (High Cost)
